arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
baseline	harbor-house	2	c	0	rlrlr	2.782	2.497	19.730	1.000	1.000	1.000	0.000	0.137	0.370
baseline	harbor-house	2	c	0	rrrl	2.721	2.107	15.842	1.000	1.000	1.000	0.933	0.478	0.527
baseline	harbor-house	2	o	0	rrrr	2.681	1.911	13.927	0.568	1.000	1.000	1.000	0.714	0.610
baseline	harbor-house	2	o	1	llrlr	3.732	1.288	18.205	1.000	1.000	1.000	1.000	1.000	0.429
baseline	harbor-house	2	c	1	lrll	5.182	4.595	132.927	1.000	1.000	1.000	0.976	0.000	0.000
baseline	harbor-house	2	o	1	lrlr	4.335	1.286	24.515	1.000	1.000	1.000	1.000	1.000	0.216
baseline	harbor-house	2	c	1	lrrll	3.639	1.852	24.992	1.000	1.000	1.000	0.834	0.781	0.203
baseline	harbor-house	2	o	1	lrrlr	6.841	3.112	155.449	1.000	0.999	1.000	1.000	0.006	0.000
baseline	harbor-house	2	c	1	rlrl	6.992	1.022	50.954	1.000	1.000	1.000	0.603	1.000	0.001
baseline	harbor-house	2	c	1	rrrl	2.721	2.107	15.842	1.000	1.000	1.000	0.960	0.478	0.527
baseline	maple-court	0	c	0	lllrr	3.933	1.508	23.494	1.000	1.000	1.000	0.994	1.000	0.245
baseline	maple-court	0	o	0	llrllr	2.584	2.142	14.343	0.382	1.000	1.000	1.000	0.439	0.592
baseline	maple-court	0	c	0	llrlr	2.238	2.457	12.386	0.719	1.000	1.000	0.117	0.160	0.676
baseline	maple-court	0	o	0	lrlll	7.297	1.200	64.606	1.000	1.000	1.000	1.000	1.000	0.000
baseline	maple-court	0	c	0	lrlr	3.094	2.393	22.988	1.000	1.000	1.000	0.000	0.203	0.260
baseline	maple-court	0	c	0	lrrll	2.931	2.049	17.739	1.000	1.000	1.000	0.000	0.547	0.448
baseline	maple-court	0	o	0	lrrrll	4.553	1.123	23.424	1.000	1.000	1.000	0.173	1.000	0.247
baseline	maple-court	0	o	0	rlll	7.763	1.022	62.212	1.000	1.000	1.000	0.000	1.000	0.000
baseline	maple-court	0	c	0	rllrr	3.228	1.091	11.390	1.000	1.000	1.000	0.000	1.000	0.718
baseline	maple-court	0	o	0	rrllr	3.558	2.152	27.518	1.000	1.000	1.000	1.000	0.427	0.145
baseline	maple-court	0	c	0	rrlrll	3.382	1.348	15.463	1.000	1.000	1.000	0.103	1.000	0.543
baseline	maple-court	0	o	0	rrrl	3.831	1.784	26.299	1.000	1.000	1.000	1.000	0.851	0.171
baseline	maple-court	0	c	1	lll	7.904	1.503	95.322	1.000	1.000	1.000	0.115	1.000	0.000
baseline	maple-court	0	o	1	llrl	5.494	1.412	42.828	1.000	1.000	1.000	0.000	1.000	0.009
baseline	maple-court	0	o	1	lrll	7.297	1.545	83.435	1.000	1.000	1.000	0.000	0.996	0.000
baseline	maple-court	0	c	1	rlr	5.434	2.054	61.546	1.000	1.000	1.000	0.000	0.541	0.000
baseline	maple-court	0	c	1	rrlrll	3.382	1.348	15.463	1.000	1.000	1.000	0.103	1.000	0.543
baseline	maple-court	0	c	2	llll	7.926	1.240	78.864	1.000	1.000	1.000	0.000	1.000	0.000
baseline	maple-court	0	o	2	lrlr	3.094	2.393	22.988	1.000	1.000	1.000	1.000	0.203	0.260
baseline	maple-court	0	c	2	lrrlrr	2.361	2.553	14.341	0.982	1.000	1.000	0.993	0.109	0.592
baseline	maple-court	0	o	2	rllrlr	2.794	1.153	9.039	0.791	1.000	1.000	1.000	1.000	0.812
baseline	maple-court	0	o	2	rlrl	5.434	1.229	36.602	1.000	1.000	1.000	1.000	1.000	0.033
baseline	maple-court	0	c	2	rlrr	4.531	1.212	24.944	1.000	1.000	1.000	0.979	1.000	0.204
baseline	maple-court	0	c	2	rrlrll	3.382	1.348	15.463	1.000	1.000	1.000	0.103	1.000	0.543
baseline	maple-court	1	o	0	llrlll	3.544	1.556	19.676	1.000	1.000	1.000	0.000	0.994	0.372
baseline	maple-court	1	c	0	llrrr	1.971	1.549	6.027	0.100	1.000	1.000	0.882	0.995	0.912
baseline	maple-court	1	o	0	lrlrl	2.584	2.204	14.763	0.383	1.000	1.000	1.000	0.371	0.574
baseline	maple-court	1	c	0	lrr	5.261	1.725	48.321	1.000	1.000	1.000	0.000	0.903	0.003
baseline	maple-court	1	c	0	rlllll	5.730	1.777	58.701	1.000	1.000	1.000	0.000	0.858	0.000
baseline	maple-court	1	o	0	rllllrr	4.673	1.029	22.528	1.000	1.000	1.000	1.000	1.000	0.274
baseline	maple-court	1	o	0	rllr	3.120	3.338	32.920	1.000	0.999	1.000	0.000	0.001	0.063
baseline	maple-court	1	c	0	rlrrl	3.788	1.263	18.176	1.000	1.000	1.000	0.587	1.000	0.431
baseline	maple-court	1	o	0	rrlrllr	5.503	1.047	31.817	1.000	1.000	1.000	1.000	1.000	0.076
baseline	maple-court	1	c	0	rrlrr	1.971	6.021	23.565	0.100	1.000	1.000	0.348	0.000	0.243
baseline	maple-court	1	c	1	llr	9.496	1.286	116.744	1.000	1.000	1.000	0.000	1.000	0.000
baseline	maple-court	1	o	1	lrlr	2.582	2.621	17.545	0.379	1.000	1.000	0.850	0.081	0.456
baseline	maple-court	1	o	1	rlrl	3.771	1.924	27.481	1.000	1.000	1.000	0.857	0.698	0.146
baseline	maple-court	1	c	1	rlrr	3.788	2.508	36.193	1.000	1.000	1.000	0.119	0.131	0.035
baseline	maple-court	1	c	1	rrr	4.668	2.544	56.305	1.000	1.000	1.000	0.156	0.113	0.000
